queries 
01/19/26 10:36:05 AM 
 last 1 week 
 10080 
Database: : C2L_DMS 
Number of queries: 100 
,Query Id,Query,Elapsed Time,Number of Sessions,Number of Executions,Average Response Time,Weight (%)
55,020000001C70C614D261C85875D4EF3C90BD18D02D6245380000000000000000000000000000000000000000,"(@_msparam_0 nvarchar(?),@_msparam_1 nvarchar(?),@_msparam_2 nvarchar(?))SELECT
SCHEMA_NAME(sp.schema_id) AS [Schema],
sp.name AS [Name],
sp.object_id AS [ID],
CAST(
case
when sp.is_ms_shipped = ? then ?
when (
select
major_id
from
sys.extended_properties
where
major_id = sp.object_id and
minor_id = ? and
class = ? and
name = N?)
is not null then ?
else ?
end
AS bit) AS [IsSystemObject],
CASE WHEN sp.type = N? THEN ? WHEN sp.type = N? THEN ? ELSE ? END AS [ImplementationType],
CAST(CASE WHEN ISNULL(smsp.definition, ssmsp.definition) IS NULL THEN ? ELSE ? END AS bit) AS [IsEncrypted]
FROM
sys.all_objects AS sp
LEFT OUTER JOIN sys.sql_modules AS smsp ON smsp.object_id = sp.object_id
LEFT OUTER JOIN sys.system_sql_modules AS ssmsp ON ssmsp.object_id = sp.object_id
WHERE
(sp.type = @_msparam_0 OR sp.type = @_msparam_1 OR sp.type=@_msparam_2)
ORDER BY
[Schema] ASC,[Name] ASC",0h 22m 42s,25,55,0h 0m 24.76s,0
313,02000000DF8C9B3758269B689A277576E7CFC64994AAA18F0000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)select * from BENEFITDTL nolock
where systemupdateddt between @P1 and @P2",0h 22m 19s,31,313,0h 0m 4.28s,0
68,02000000AA831007CEBD7617B2B8244CAD94D184B40ECE230000000000000000000000000000000000000000,"SELECT distinct AD.*
,PC.CONTACTNUM [MOBILENO]
,CONVERT(VARCHAR(?),AGD.FIRSTLICENSEDT,?) [FIRSTLICENSEDT]--,NPWP16.IDENTITYNUM NPWP16,KTP.IDENTITYNUM KTP_NUMBER              
--CASE WHEN AGD.DESIGNATIONCD IN (&#x27;FWP&#x27;,&#x27;FWM&#x27;,&#x27;FWO&#x27;,&#x27;BA&#x27;) THEN J.JUMBO ELSE AGD.JUMBOFLAG END AS JUMBOFLAG_BASEDFROM_FWD,            
--MAD.[MAD NAME] AS PARTNER_NAME,            
--JUMBO.SUB_PARTNER_NAME, AG2.REGION, AG2.SALESOFFICE_NAME BRANCH            
--INTO #TEMP_AGENTDATA          
FROM MG_AGENTDATA_V AD (NOLOCK)
JOIN AGENT AG (NOLOCK) ON AG.AGENTID = AD.AGENTID
LEFT JOIN PARTY PT (NOLOCK) ON PT.PARTYID=AG.PARTYID
LEFT JOIN PARTYCONTACT PC (NOLOCK) ON PC.PARTYSEQ=PT.PARTYSEQ and PC.CONTACTTYPECD=?
LEFT JOIN AGENTDETAIL AGD (NOLOCK) ON AGD.AGENTSEQ = AG.AGENTSEQ
LEFT JOIN PARTYIDENTITY KTP (NOLOCK) ON KTP.PARTYSEQ=PT.PARTYSEQ and KTP.IDENTITYTYPECD = ?",0h 22m 10s,11,68,0h 0m 19.56s,0
116773,02000000A1A8D4068E6EC4E9C3AA1EA2A254F55214F5A54A0000000000000000000000000000000000000000,"(@P0 bigint,@P1 nvarchar(?),@P2 nvarchar(?),@P3 nvarchar(?),@P4 nvarchar(?),@P5 datetime,@P6 nvarchar(?),@P7 nvarchar(?),@P8 nvarchar(?),@P9 float,@P10 nvarchar(?),@P11 nvarchar(?),@P12 nvarchar(?),@P13 nvarchar(?),@P14 nvarchar(?),@P15 nvarchar(?),@P16 nvarchar(?),@P17 nvarchar(?),@P18 nvarchar(?),@P19 datetime,@P20 nvarchar(?))insert into GLPOSTING (versionid, guid, JOURNALTYPE, TRANSACTIONREF, ACCOUNTINGPERIOD, TRANSACTIONDT, ACCOUNTCODE, DESCRIPTION, TRANSACTIONCURRENCY, AMOUNT, TRANSACTIONTYPE, LOB, LOCATION, CHANNEL, COSTCENTER, TAX, CASHFLOW, L4FL, IFRS, GLPOSTINGDT, GLTYPECD) values ( @P0 , @P1 , @P2 , @P3 , @P4 , @P5 , @P6 , @P7 , @P8 , @P9 , @P10 , @P11 , @P12 , @P13 , @P14 , @P15 , @P16 , @P17 , @P18 , @P19 , @P20 ) SELECT SCOPE_IDENTITY() AS ID",0h 22m 8s,12,116773,0h 0m 0.01s,0
2,02000000246D6708494A1536D03ACA3DF423E10005609E5D0000000000000000000000000000000000000000,select * from [dbo].[POLICYPRODUCT_D],0h 21m 26s,2,2,0h 10m 43.00s,0
311,02000000580418322ECECA355C1C0234D38D489C35189E790000000000000000000000000000000000000000,select * from [dbo].[PAYOUTBANKFILELINK],0h 21m 7s,31,311,0h 0m 4.07s,0
82,02000000DA50F82658FB07B63526AA5715B00089A469365C0000000000000000000000000000000000000000,"(@_msparam_0 nvarchar(?),@_msparam_1 nvarchar(?))SELECT
clmns.column_id AS [ID],
clmns.name AS [Name],
ISNULL(dc.Name, N?) AS [DefaultConstraintName],
clmns.is_nullable AS [Nullable],
CAST(ISNULL(cik.index_column_id, ?) AS bit) AS [InPrimaryKey],
clmns.is_identity AS [Identity],
usrt.name AS [DataType],
clmns.is_computed AS [Computed]
FROM
sys.tables AS tbl
INNER JOIN sys.all_columns AS clmns ON clmns.object_id=tbl.object_id
LEFT OUTER JOIN sys.default_constraints as dc ON clmns.default_object_id = dc.object_id
LEFT OUTER JOIN sys.indexes AS ik ON ik.object_id = clmns.object_id and ?=ik.is_primary_key
LEFT OUTER JOIN sys.index_columns AS cik ON cik.index_id = ik.index_id and cik.column_id = clmns.column_id and cik.object_id = clmns.object_id and ? = cik.is_included_column
LEFT OUTER JOIN sys.types AS usrt ON usrt.user_type_id = clmns.user_type_id
WHERE
(tbl.name=@_msparam_0 and SCHEMA_NAME(tbl.schema_id)=@_msparam_1)
ORDER BY
[ID] ASC",0h 20m 41s,10,82,0h 0m 15.13s,0
0,02000000600C111D29121CC086EDC6BD6AD8E3AD4C7EDB850000000000000000000000000000000000000000,select * from [dbo].[AGENTHISTORY],0h 20m 28s,1,0,'-,0
5822,02000000B9D627057A34356E4253C5054F17220FD62985440000000000000000000000000000000000000000,"(@P0 bigint)SELECT STEP_EXECUTION_ID, STEP_NAME, START_TIME, END_TIME, STATUS, COMMIT_COUNT, READ_COUNT, FILTER_COUNT, WRITE_COUNT, EXIT_CODE, EXIT_MESSAGE, READ_SKIP_COUNT, WRITE_SKIP_COUNT, PROCESS_SKIP_COUNT, ROLLBACK_COUNT, LAST_UPDATED, VERSION from BATCH_STEP_EXECUTION where JOB_EXECUTION_ID = @P0 order by STEP_EXECUTION_ID",0h 20m 17s,60,5822,0h 0m 0.21s,0
0,020000006FDCD22EA1A576FA64922D8B0B79156C401E1BA40000000000000000000000000000000000000000,"(@_msparam_0 nvarchar(?),@_msparam_1 nvarchar(?),@_msparam_2 nvarchar(?))SELECT
SCHEMA_NAME(sp.schema_id) AS [Schema],
sp.name AS [Name],
sp.object_id AS [ID]
FROM
sys.all_objects AS sp
WHERE
(sp.type = @_msparam_0 OR sp.type = @_msparam_1 OR sp.type=@_msparam_2)
ORDER BY
[Schema] ASC,[Name] ASC",0h 20m 11s,2,0,'-,0
632,030006002A82A838482CAA006EB3000001000000000000000000000000000000000000000000000000000000,CS_RPA_AGENTINFO,0h 18m 25s,4,632,0h 0m 1.75s,0
8031,02000000B2D1D71763BA54A89079C2CFC94407365CB40F870000000000000000000000000000000000000000,"(@P0 bigint)select listjobrun0_.BATCHRUNDIARYSEQ as BATCHRU10_1_, listjobrun0_.JOBRUNDIARYSEQ as JOBRUNDI1_1_, listjobrun0_.JOBRUNDIARYSEQ as JOBRUNDI1_327_0_, listjobrun0_.versionid as versionid327_0_, listjobrun0_.guid as guid327_0_, listjobrun0_.STARTTIME as STARTTIME327_0_, listjobrun0_.ENDTIME as ENDTIME327_0_, listjobrun0_.JOBID as JOBID327_0_, listjobrun0_.JOBNAME as JOBNAME327_0_, listjobrun0_.JOBRUNSTATUSCD as JOBRUNST8_327_0_, listjobrun0_.SPRINGEXECUTIONID as SPRINGEX9_327_0_, listjobrun0_.BATCHRUNDIARYSEQ as BATCHRU10_327_0_ from JOBRUNDIARY listjobrun0_ where listjobrun0_.BATCHRUNDIARYSEQ= @P0 ",0h 18m 17s,66,8031,0h 0m 0.14s,0
37,03000600BBAD766DB90C5A01B6B0000001000000000000000000000000000000000000000000000000000000,HANDLEFLCHOLDRELEASE,0h 17m 55s,6,37,0h 0m 29.05s,0
27,020000009C34A136900D2709A5C0E8D25984AB02A16C1D490000000000000000000000000000000000000000,"(@P0 nvarchar(?),@P1 nvarchar(?),@P2 nvarchar(?),@P3 nvarchar(?),@P4 nvarchar(?),@P5 nvarchar(?),@P6 nvarchar(?),@P7 nvarchar(?),@P8 nvarchar(?),@P9 nvarchar(?),@P10 nvarchar(?),@P11 nvarchar(?),@P12 nvarchar(?),@P13 nvarchar(?),@P14 nvarchar(?),@P15 nvarchar(?),@P16 nvarchar(?),@P17 nvarchar(?),@P18 nvarchar(?),@P19 nvarchar(?),@P20 nvarchar(?),@P21 nvarchar(?),@P22 nvarchar(?),@P23 nvarchar(?),@P24 nvarchar(?),@P25 nvarchar(?),@P26 nvarchar(?),@P27 nvarchar(?),@P28 nvarchar(?),@P29 nvarchar(?),@P30 nvarchar(?),@P31 nvarchar(?),@P32 nvarchar(?),@P33 nvarchar(?),@P34 nvarchar(?),@P35 nvarchar(?),@P36 nvarchar(?),@P37 nvarchar(?),@P38 nvarchar(?),@P39 nvarchar(?),@P40 nvarchar(?),@P41 nvarchar(?),@P42 nvarchar(?),@P43 nvarchar(?),@P44 nvarchar(?),@P45 nvarchar(?),@P46 nvarchar(?),@P47 nvarchar(?),@P48 nvarchar(?),@P49 nvarchar(?),@P50 nvarchar(?),@P51 nvarchar(?),@P52 nvarchar(?),@P53 nvarchar(?),@P54 nvarchar(?),@P55 nvarchar(?),@P56 nvarchar(?),@P57 nvarchar(?),@P58 nvarchar(?),@P59 nvarchar(?),@P60 nvarchar(?),@P61 nvarchar(?),@P62 nvarchar(?),@P63 nvarchar(?),@P64 nvarchar(?),@P65 nvarchar(?),@P66 nvarchar(?),@P67 nvarchar(?),@P68 nvarchar(?),@P69 nvarchar(?),@P70 nvarchar(?),@P71 nvarchar(?),@P72 nvarchar(?),@P73 nvarchar(?),@P74 nvarchar(?),@P75 nvarchar(?),@P76 nvarchar(?),@P77 nvarchar(?),@P78 nvarchar(?),@P79 nvarchar(?),@P80 nvarchar(?),@P81 nvarchar(?),@P82 nvarchar(?),@P83 nvarchar(?),@P84 nvarchar(?),@P85 nvarchar(?),@P86 nvarchar(?),@P87 nvarchar(?),@P88 nvarchar(?),@P89 nvarchar(?),@P90 nvarchar(?),@P91 nvarchar(?),@P92 nvarchar(?),@P93 nvarchar(?),@P94 nvarchar(?),@P95 nvarchar(?),@P96 nvarchar(?),@P97 nvarchar(?),@P98 nvarchar(?),@P99 nvarchar(?),@P100 nvarchar(?),@P101 nvarchar(?),@P102 nvarchar(?),@P103 nvarchar(?),@P104 nvarchar(?),@P105 nvarchar(?),@P106 nvarchar(?),@P107 nvarchar(?),@P108 nvarchar(?),@P109 nvarchar(?),@P110 nvarchar(?),@P111 nvarchar(?),@P112 nvarchar(?),@P113 nvarchar(?),@P114 nvarchar(?),@P115 nvarchar(?),@P116 nvarchar(?),@P117 nvarchar(?),@P118 nvarchar(?),@P119 nvarchar(?),@P120 nvarchar(?),@P121 nvarchar(?),@P122 nvarchar(?),@P123 nvarchar(?),@P124 nvarchar(?),@P125 nvarchar(?),@P126 nvarchar(?),@P127 nvarchar(?),@P128 nvarchar(?),@P129 nvarchar(?),@P130 nvarchar(?),@P131 nvarchar(?),@P132 nvarchar(?),@P133 nvarchar(?),@P134 nvarchar(?),@P135 nvarchar(?),@P136 nvarchar(?),@P137 nvarchar(?),@P138 nvarchar(?),@P139 nvarchar(?),@P140 nvarchar(?),@P141 nvarchar(?),@P142 nvarchar(?),@P143 nvarchar(?),@P144 nvarchar(?),@P145 nvarchar(?),@P146 nvarchar(?),@P147 nvarchar(?),@P148 nvarchar(?),@P149 nvarchar(?),@P150 nvarchar(?),@P151 nvarchar(?),@P152 nvarchar(?),@P153 nvarchar(?),@P154 nvarchar(?),@P155 nvarchar(?),@P156 nvarchar(?),@P157 nvarchar(?),@P158 nvarchar(?),@P159 nvarchar(?),@P160 nvarchar(?),@P161 nvarchar(?),@P162 nvarchar(?),@P163 nvarchar(?),@P164 nvarchar(?),@P165 nvarchar(?),@P166 nvarchar(?),@P167 nvarchar(?),@P168 nvarchar(?),@P169 nvarchar(?),@P170 nvarchar(?),@P171 nvarchar(?),@P172 nvarchar(?),@P173 nvarchar(?),@P174 nvarchar(?),@P175 nvarchar(?),@P176 nvarchar(?),@P177 nvarchar(?),@P178 nvarchar(?),@P179 nvarchar(?),@P180 nvarchar(?),@P181 nvarchar(?),@P182 nvarchar(?),@P183 nvarchar(?),@P184 nvarchar(?),@P185 nvarchar(?),@P186 nvarchar(?),@P187 nvarchar(?),@P188 nvarchar(?),@P189 nvarchar(?),@P190 nvarchar(?),@P191 nvarchar(?),@P192 nvarchar(?),@P193 nvarchar(?),@P194 nvarchar(?),@P195 nvarchar(?),@P196 nvarchar(?),@P197 nvarchar(?),@P198 nvarchar(?),@P199 nvarchar(?),@P200 nvarchar(?),@P201 nvarchar(?),@P202 nvarchar(?),@P203 nvarchar(?),@P204 nvarchar(?),@P205 nvarchar(?),@P206 nvarchar(?),@P207 nvarchar(?),@P208 nvarchar(?),@P209 nvarchar(?),@P210 nvarchar(?),@P211 nvarchar(?),@P212 nvarchar(?),@P213 nvarchar(?),@P214 nvarchar(?),@P215 nvarchar(?),@P216 nvarchar(?),@P217 nvarchar(?),@P218 nvarchar(?),@P219 nvarchar(?),@P220 nvarchar(?),@P221 nvarchar(?),@P222 nvarchar(?),@P223 nvarchar(?),@P224 nvarchar(?),@P225 nvarchar(?),@P226 nvarchar(?),@P227 nvarchar(?),@P228 nvarchar(?),@P229 nvarchar(?),@P230 nvarchar(?),@P231 nvarchar(?),@P232 nvarchar(?),@P233 nvarchar(?),@P234 nvarchar(?),@P235 nvarchar(?),@P236 nvarchar(?),@P237 nvarchar(?),@P238 nvarchar(?),@P239 nvarchar(?),@P240 nvarchar(?),@P241 nvarchar(?),@P242 nvarchar(?),@P243 nvarchar(?),@P244 nvarchar(?),@P245 nvarchar(?),@P246 nvarchar(?),@P247 nvarchar(?),@P248 nvarchar(?),@P249 nvarchar(?),@P250 nvarchar(?),@P251 nvarchar(?),@P252 nvarchar(?),@P253 nvarchar(?),@P254 nvarchar(?),@P255 nvarchar(?),@P256 nvarchar(?),@P257 nvarchar(?),@P258 nvarchar(?),@P259 nvarchar(?),@P260 nvarchar(?),@P261 nvarchar(?),@P262 nvarchar(?),@P263 nvarchar(?),@P264 nvarchar(?),@P265 nvarchar(?),@P266 nvarchar(?),@P267 nvarchar(?),@P268 nvarchar(?),@P269 nvarchar(?),@P270 nvarchar(?),@P271 nvarchar(?),@P272 nvarchar(?),@P273 nvarchar(?),@P274 nvarchar(?),@P275 nvarchar(?),@P276 nvarchar(?),@P277 nvarchar(?),@P278 nvarchar(?),@P279 nvarchar(?),@P280 nvarchar(?),@P281 nvarchar(?),@P282 nvarchar(?),@P283 nvarchar(?),@P284 nvarchar(?),@P285 nvarchar(?),@P286 nvarchar(?),@P287 nvarchar(?),@P288 nvarchar(?),@P289 nvarchar(?),@P290 nvarchar(?),@P291 nvarchar(?),@P292 nvarchar(?),@P293 nvarchar(?),@P294 nvarchar(?),@P295 nvarchar(?),@P296 nvarchar(?),@P297 nvarchar(?),@P298 nvarchar(?),@P299 nvarchar(?),@P300 nvarchar(?),@P301 nvarchar(?),@P302 nvarchar(?),@P303 bigint,@P304 bigint)select k1.kpiresultseq, k1.guid, k1.postingDt, k1.productionEffectiveDt, k1.definitionCd, k1.versionNum, k1.definitionTypeCd,k1.definitionSubTypeCd, k1.individualFl, k1.resultValue, k1.dtRefGuid, k1.timeDimensionSeq, k1.zeroMthFinJoinTimeSeq, k1.zeroMthProdJoinTimeSeq, k1.zeroMthCalJoinTimeSeq, k1.zeroMthFinDesigTimeSeq, k1.zeroMthProdDesigTimeSeq, k1.zeroMthCalDesigTimeSeq, k1.productionSharingPerc, k1.transferSharingPerc, k1.agentHistorySeq, k1.kpiIndicatorFl, k1.subKPIsTypeCd, k1.baseKPICd, k1.baseKPISubTypeCd, k1.baseKPISeq, k1.countOfActionCd, k1.hierarchyTypeCd, k1.designationCd, k1.agentStatusCd, k1.recruitmentCategoryCd, k1.tier, k1.reportingLinkCd, k1.sourceDesignationCd, k1.sourceChannelCd, k1.sourceAgencyId, k1.kpiFrequencyCd, k1.dormantStatusFl, k1.classificationCd, k1.subordinateDesignationCd, k1.subordinateClassifyCd,k1.subordinateAgentStatusCd, k1.subRecruitmentCatgCd, k1.subordinateType, k1.cmsPolicyInterfaceSeq, k1.groupProcessedFl, k1.agentId, k1.processTypeCd, k1.numeratorValue, k1.denominatorValue, k1.reinstatementPerc, k1.actionFieldTypeCd , k1.zeroQtrFinJoinTimeSeq , k1.zeroQtrProdJoinTimeSeq , k1.zeroQtrCalJoinTimeSeq , k1.zeroQtrFinDesigTimeSeq , k1.zeroQtrProdDesigTimeSeq ,k1.zeroQtrCalDesigTimeSeq , k1.zeroHyrFinJoinTimeSeq , k1.zeroHyrProdJoinTimeSeq , k1.zeroHyrCalJoinTimeSeq , k1.zeroHyrFinDesigTimeSeq , k1.zeroHyrProdDesigTimeSeq , k1.zeroHyrCalDesigTimeSeq , k1.zeroYrFinJoinTimeSeq , k1.zeroYrProdJoinTimeSeq , k1.zeroYrCalJoinTimeSeq , k1.zeroYrFinDesigTimeSeq , k1.zeroYrProdDesigTimeSeq , k1.zeroYrCalDesigTimeSeq ,k1.POLICYISSUEDT , k1.logindt,k1.premiumDueDt from KPIResult k1 where ? = ? and k1.definitionCd = @P0 and k1.resultValue not in (?,?) and k1.agentId in ( @P1 , @P2 , @P3 , @P4 , @P5 , @P6 , @P7 , @P8 , @P9 , @P10 , @P11 , @P12 , @P13 , @P14 , @P15 , @P16 , @P17 , @P18 , @P19 , @P20 , @P21 , @P22 , @P23 , @P24 , @P25 , @P26 , @P27 , @P28 , @P29 , @P30 , @P31 , @P32 , @P33 , @P34 , @P35 , @P36 , @P37 , @P38 , @P39 , @P40 , @P41 , @P42 , @P43 , @P44 , @P45 , @P46 , @P47 , @P48 , @P49 , @P50 , @P51 , @P52 , @P53 , @P54 , @P55 , @P56 , @P57 , @P58 , @P59 , @P60 , @P61 , @P62 , @P63 , @P64 , @P65 , @P66 , @P67 , @P68 , @P69 , @P70 , @P71 , @P72 , @P73 , @P74 , @P75 , @P76 , @P77 , @P78 , @P79 , @P80 , @P81 , @P82 , @P83 , @P84 , @P85 , @P86 , @P87 , @P88 , @P89 , @P90 , @P91 , @P92 , @P93 , @P94 , @P95 , @P96 , @P97 , @P98 , @P99 , @P100 , @P101 , @P102 , @P103 , @P104 , @P105 , @P106 , @P107 , @P108 , @P109 , @P110 , @P111 , @P112 , @P113 , @P114 , @P115 , @P116 , @P117 , @P118 , @P119 , @P120 , @P121 , @P122 , @P123 , @P124 , @P125 , @P126 , @P127 , @P128 , @P129 , @P130 , @P131 , @P132 , @P133 , @P134 , @P135 , @P136 , @P137 , @P138 , @P139 , @P140 , @P141 , @P142 , @P143 , @P144 , @P145 , @P146 , @P147 , @P148 , @P149 , @P150 , @P151 , @P152 , @P153 , @P154 , @P155 , @P156 , @P157 , @P158 , @P159 , @P160 , @P161 , @P162 , @P163 , @P164 , @P165 , @P166 , @P167 , @P168 , @P169 , @P170 , @P171 , @P172 , @P173 , @P174 , @P175 , @P176 , @P177 , @P178 , @P179 , @P180 , @P181 , @P182 , @P183 , @P184 , @P185 , @P186 , @P187 , @P188 , @P189 , @P190 , @P191 , @P192 , @P193 , @P194 , @P195 , @P196 , @P197 , @P198 , @P199 , @P200 , @P201 , @P202 , @P203 , @P204 , @P205 , @P206 , @P207 , @P208 , @P209 , @P210 , @P211 , @P212 , @P213 , @P214 , @P215 , @P216 , @P217 , @P218 , @P219 , @P220 , @P221 , @P222 , @P223 , @P224 , @P225 , @P226 , @P227 , @P228 , @P229 , @P230 , @P231 , @P232 , @P233 , @P234 , @P235 , @P236 , @P237 , @P238 , @P239 , @P240 , @P241 , @P242 , @P243 , @P244 , @P245 , @P246 , @P247 , @P248 , @P249 , @P250 , @P251 , @P252 , @P253 , @P254 , @P255 , @P256 , @P257 , @P258 , @P259 , @P260 , @P261 , @P262 , @P263 , @P264 , @P265 , @P266 , @P267 , @P268 , @P269 , @P270 , @P271 , @P272 , @P273 , @P274 , @P275 , @P276 , @P277 , @P278 , @P279 , @P280 , @P281 , @P282 , @P283 , @P284 , @P285 , @P286 , @P287 , @P288 , @P289 , @P290 , @P291 , @P292 , @P293 , @P294 , @P295 , @P296 , @P297 , @P298 , @P299 , @P300 , @P301 , @P302 ) and k1.timeDimensionSeq between @P303 and @P304 order by k1.kpiResultSeq asc ",0h 17m 52s,6,27,0h 0m 39.70s,0
13768,03000600EABA5E753C44BA0041B2000000000000000000000000000000000000000000000000000000000000,AgentCoursePassed,0h 17m 35s,58,13768,0h 0m 0.08s,0
2,0200000031977432E2D4B94EF90C899CC1BBB5E4EB34F7C90000000000000000000000000000000000000000,select * from [dbo].[POLICY_M],0h 17m 31s,2,2,0h 8m 45.50s,0
0,0400FF7FA6A6A9D6010000000000000000000000000000000000000000000000000000000000000000000000,sp_replcmds,0h 16m 55s,1,0,'-,0
3,020000001A4C3D2D4CEEFC8EA8DF7FBBB2BF97079F069F340000000000000000000000000000000000000000,"SELECT ROW_NUMBER() OVER(ORDER BY INTERMEDSUBCATCD,AGENTID) AS NOMOR,
INTERMEDSUBCATCD,
dbo.RemoveNonAlphaNumericCharacters(AGENTID) AGENTID,
dbo.RemoveNonAlphaNumericCharacters(AGENTNAME) [AGENTNAME],
CONVERT(VARCHAR(?),AD.REGISTRATIONDT ,?) [REGISTRATIONDT],
CONVERT(VARCHAR(?),AD.JOINDATE,?) AS JOINDATE,
NEWRECRUITDATE,
AGENTSTATUSCD,
RECRUITEDBYAGENTID,
PARENTAGENTID,
FWO,
FWM,
FWD,
SD,
RM,
BRANCHID,
BANKCD,
DESIGNATIONCD [AGENTLEVEL],
dbo.RemoveNonAlphaNumericCharacters(REFNAME) REFNAME,
dbo.RemoveNonAlphaNumericCharacters(IDENTITYNUM) NPWP,
dbo.RemoveNonAlphaNumericCharacters(BANKNAME) BANKNAME,
dbo.RemoveNonAlphaNumericCharacters(BRANCHCD) BRANCHCD,
dbo.RemoveNonAlphaNumericCharacters(BRANCHNAME) BRANCHNAME,
ACCOUNTNUM,
CONVERT(VARCHAR(?),AD.TERMDATE ,?) TERMDATE,
EXAMMODE,
CONVERT(VARCHAR(?),AD.EXAMDT ,?) EXAMDT,
EXAMCENTERNAME,
EMAILADDRESS EMAILADDRESS,
LICENSETYPE_PRODUCT,
dbo.RemoveNonAlphaNumericCharacters(RECRUITERNAME) RECRUITERNAME,
dbo.RemoveNonAlphaNumericCharacters(SUPERVISORNAME) SUPERVISORNAME,
dbo.RemoveNonAlphaNumericCharacters(FWONAME) FWONAME,
dbo.RemoveNonAlphaNumericCharacters(FWMNAME) FWMNAME,
dbo.RemoveNonAlphaNumericCharacters(FWDNAME) FWDNAME,
dbo.RemoveNonAlphaNumericCharacters(RMNAME) RMNAME,
dbo.RemoveNonAlphaNumericCharacters(SDNAME) SDNAME,
SYSTEMUPDATEDDT,
CHANNELCD,
dbo.RemoveNonAlphaNumericCharacters(LICENSETYPE) LICENSETYPE,
dbo.RemoveNonAlphaNumericCharacters(LICENSENUM) LICENSENUM,
CLICENSE_EFFECTIVEFROMDT [LICENSE_EFFECTIVEFROMDT],
dbo.RemoveNonAlphaNumericCharacters(MONITORINGSTAFFID) MONITORINGSTAFFID,
dbo.RemoveNonAlphaNumericCharacters(AGENTMONITORNAME) AGENTMONITORNAME,
CLICENSE_EFFECTIVETODT [LICENSE_EFFECTIVETODT],
CLEANSTATUS,
CLEANDATE,
JUMBOFLAG,
CHECK_QC, CONTACTPERSON,TUNJANGANFLAG,APPLICATIONNUM,
TRANSFERDATE
,MOBILENO
,FIRSTLICENSEDT
,NPWP16 -- add by Tarum (20250109)
,KTP_NUMBER -- add by Tarum (20250109)
FROM MG_AGENTDATA2_V AD where [INTERMEDSUBCATCD] = ? ",0h 16m 25s,16,3,0h 5m 28.33s,0
57,020000006533F9284024A5C4C6019E6F34334F0EF5A0D25D0000000000000000000000000000000000000000,select * from [dbo].[V_DIM_AGENT_HIERARCHY_OCBC],0h 16m 12s,14,57,0h 0m 17.05s,0
308,020000005CDA1A1B71A2C88CD55C83E4F8EE7730661EDD390000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)SELECT
POLICYSERVICINGAGENTSEQ,POLICYSEQ,POLICYNUM,SOURCE,AGENTCD,EFFECTIVEFROMDT,EFFECTIVETODT,ISACTIVEFL,VERSIONID,GUID,REFMOVEMENTGUID,SYSTEMCREATEDDT,SYSTEMUPDATEDDT FROM POLICYSERVICING_D WITH(NOLOCK)
where systemupdateddt BETWEEN @P1 AND @P2",0h 15m 25s,29,308,0h 0m 3.00s,0
12,02000000B041482CE13375FAF137B5C086462D828D94F6D00000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)SELECT *fROM COMPENSATIONPAYABLE NOLOCK
WHERE [SYSTEMUPDATEDDT] BETWEEN @P1 AND @P2",0h 14m 50s,5,12,0h 1m 14.17s,0
